Startup Name,Industry,Business Description,Company Website,Number of Presenters,Pitchers Average Age,Started in,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Deal Valuation,Has Patents
Angrakhaa,Beauty/Fashion,Contemporary Indian clothing,https://www.angrakhaa.com/,2,Young,,,,,,,40,5,800,1,1,40,20,,200,
Diabexy,Food,Diabetes Friendly Food Products,https://diabexy.com/,2,Middle,2016,Haryana,,100,,,150,1,15000,1,0,,,,,
Kyari,Manufacturing,Smart stick Guardian,https://kyari.in/,2,Young,2018,,,10,,,51,1,5100,1,1,51,6,,850,
MoppFoods,Food,Mad over Parathas Pakodas,https://moppfoods.com/,2,Middle,,Delhi,,,,,75,2.25,3333.333333,1,1,75,5,,1500,
Econiture,Furnishing/Household,Furniture from plastic waste,https://www.econiture.com/,4,Middle,,Maharashtra,,,,,50,8,625,0,,,,,,
Dobiee,Food,CANDIES MUSKIEE TOYS,https://www.dobiee.com/,2,Middle,2021,Maharashtra,,32,23,,72,2,3600,1,1,72,6.5,,1107.692308,
FastBeetle,Services,Local courier and parcel service,https://www.fastbeetle.com/,2,Young,2019,Jammu & Kashmir,-1,25,54,,90,3,3000,1,1,90,7.5,,1200,
Pflow,Medical/Health,Disposable uroflowmetry system,https://tejnaksh.com/our-domains/healthcare-equipment/p-flow/,2,Middle,2021,Maharashtra,,,80,,60,1,6000,1,1,60,6,,1000,
VSMani,Food,Coffee and snacks,https://vsmani.com/,3,Middle,2020,Karnataka,-1,63,,,60,1.5,4000,1,1,19,1,41,1900,
Sepal,Manufacturing,Bike Accessories,https://sepal.in/,2,Middle,,Telangana,,,37,,50,1,5000,1,1,50,2,,2500,
Solinas,Services,"Products organise the management of pipelines,manholes and septic tanks",https://solinas.in/,4,Middle,2020,Tamil Nadu,120,,,,90,2,4500,1,1,90,3,,3000,
AvimeeHerbal,Beauty/Fashion,Ayurveda hair skin products,https://avimeeherbal.com/,5,Middle,2021,,,165,69,,280,0.5,56000,1,0,,,,,
eyenic,Beauty/Fashion,Eyewear,https://eyenic.in/,2,Middle,2017,,,15,45,21,75,6,1250,0,,,,,,
ekatra,Furnishing/Household,Handmade paper goods,https://ekatrahandmade.com/,2,Middle,2019,Rajasthan,,5,80,28,40,10,400,1,1,20,20,20,100,
Raasa,Food,Food karts,,1,Middle,2022,Delhi,,,,,50,5,1000,1,1,50,25,,200,
NeoMotion,Manufacturing,Wheelchairs,https://www.neomotion.in/,3,Middle,2020,,470,,,,100,1,10000,1,1,100,1,,10000,
licksters,Food,Icecreams ice-pops,https://www.licksters.com/,2,Middle,,Multiple-States,86,14,,,50,5,1000,1,1,25,5,25,500,
Sayonara,Beauty/Fashion,Petticoat,,1,Middle,,,0,,,,100,1,10000,0,,,,,,1
PMV,Vehicles/Electrical Vehicles,Personal Mobility Vehicle,https://pmvelectric.com/,1,Middle,2018,,0,,,,100,1,10000,1,0,,,,,
SpiceStory,Food,Indian Sauces Chutneys,https://spice-story.in/,3,Middle,2019,,410,57,,,70,2,3500,1,1,70,5,,1400,
Bullspree,Technology/Software,App to learn stock market basics,https://bullspree.com/,3,Middle,,Gujarat,-1,,,,75,1.5,5000,1,1,75,2.86,,2622.377622,
Snitch,Beauty/Fashion,Menswear,https://www.snitch.co.in/,1,Middle,2020,Karnataka,,,,,150,0.5,30000,1,1,150,1.5,,10000,
Portl,Services,Portl studio gym,https://portl.co/,3,Middle,,Telangana,,,45,,150,1,15000,1,1,150,2.5,,6000,
FatToSlim,Beauty/Fashion,Diet Plan Weight Loss,http://fattoslimbangalore.com/,1,Middle,,Karnataka,,14,,,20,1,2000,0,,,,,,
CheeseCake&Co.,Food,Cakes Slices,https://cheesecakeco.in/,2,Middle,2018,Delhi,,194,,,100,2,5000,1,0,,,,,
Dabble,Manufacturing,Paints Crayons Brushes,https://dabbleplayart.com/,2,Middle,,Karnataka,33,8.7,75,,50,10,500,1,1,15,10,35,150,
CloudTailor,Services,Custom tailor online,https://www.cloudtailor.com/,3,Middle,,Multiple-States,-1,34,,,100,1.4,7142.857143,0,,,,,,
BeUnic,Services,Platform for LGBTQ+ creators and entrepreneurs,https://beunic.in/,3,Middle,,,50,6,,,100,10,1000,1,0,,,,,
Broomees,Services,Helpers homemakers for your home,https://broomees.com/,3,Middle,,Delhi,,,,,80,2,4000,1,1,100,3,,3333.333333,
Ravel,Beauty/Fashion,Custom Hair Products,https://www.ravelcare.com/,1,Middle,2021,Maharashtra,,40,,,75,2.5,3000,1,1,75,10,,750,
HoneyVeda,Food,Honey in natural nutritious form,https://www.honeyveda.in/,2,Middle,,Gujarat,53,,20,,75,7.5,1000,1,1,50,20,25,250,
PadCare,Manufacturing,Menstrual hygiene disposal solution,https://www.padcarelabs.com/,1,Young,,Maharashtra,-1,14,,,50,2,2500,1,1,100,4,,2500,
SwadeshiBlessings,Furnishing/Household,Clay utensils and cookwares,https://www.swadeshiblessings.in/,3,Middle,2020,Multiple-States,120,28,60,,50,5,1000,1,1,25,5,25,500,
OLL,Technology/Software,Online Live Learning Skill development classes,https://www.oll.co/,1,Young,,,,,,,30,2,1500,1,1,30,5,,600,
Febris,Medical/Health,"Scrubs, Lab Coats & Medical Apparel",https://www.febris.in/,2,Middle,,,110,12,,20,100,2.5,4000,0,,,,,,
Geeani,Vehicles/Electrical Vehicles,Smallest EV tractor,,3,Middle,,Gujarat,,,,,75,7.5,1000,1,1,100,10,,1000,
Amore,Food,Gelato Ice Cream Online,https://www.amoregelato.com/,2,Middle,,Multiple-States,,,,,75,4,1875,1,1,75,7.5,,1000,
LeafyAffair,Beauty/Fashion,Botanical Jewellery,https://leafyaffair.com/,1,Middle,,Karnataka,110,21,80,,50,2.5,2000,0,,,,,,
ScrapUncle,Services,Sell scrap recyclables online,https://scrapuncle.com/,1,Young,2020,Delhi,600,,25,,60,3,2000,1,1,60,5,,1200,
SharmaJiKiAata,Food,Freshly milled atta,https://sharmajikaaata.com/,2,Middle,2019,Maharashtra,,,63,38,40,10,400,1,1,40,20,,200,
Manetain,Beauty/Fashion,Curly Hair Care Products,https://manetain.in/,2,Young,,Multiple-States,100,12,60,,75,2.5,3000,1,1,75,10,,750,
GavinParis,Beauty/Fashion,Gender-Neutral Fashion,https://www.gavinparis.com/,2,Young,2022,West Bengal,114,,60,,50,5,1000,1,0,,,,,
UnStop,Technology/Software,Connecting talent colleges recruiters,https://unstop.com/,1,Middle,2022,Delhi,1600,,90,,100,1,10000,1,1,200,4,,5000,
BlueTea,Food,Ayurvedic Herbal Tea,https://bluetea.co.in/,2,Middle,2018,Multiple-States,1000,,,19,75,1,7500,1,1,50,3,25,1666.666667,
TheGreenSnack,Food,Healthy Snacks Online,https://thegreensnackco.com/,2,Middle,2017,,-1,25,,,100,2,5000,1,1,100,8,,1250,
HobbyIndia,Furnishing/Household,Online Art & Craft Store,https://hobbyindia.store/,3,Young,,Gujarat,117,,,,50,3,1666.666667,1,0,,,,,
Flhexible,Furnishing/Household,Composite paper honeycomb panels,https://www.flhexible.com/,2,Middle,2019,Rajasthan,16,3.5,40,25,50,7.5,666.6666667,0,,,,,,
UpThrust,Sports,ESPORTS AND GAMING ORGANISATION,https://www.upthrustesports.com/,2,Young,,,300,33,,30,75,3,2500,0,,,,,,
Zoff,Food,Cool Grind Technology Indian Spices,https://zofffoods.com/,2,Middle,2018,Chhattisgarh,,700,,,100,0.5,20000,1,1,100,1.25,,8000,
DesiToys,Manufacturing,Indian Traditional Toys and Indoor Games,https://www.desitoys.in/,1,Middle,2017,Maharashtra,115,20,50,18,50,3,1666.666667,1,0,,,,,
CloudWorx,Technology/Software,NoCode Enterprise Metaverse App Builder,http://www.cloudworx.ai/,1,Middle,,Karnataka,,14,,,40,2,2000,1,1,40,3.2,,1250,
Mahantam,Manufacturing,Tea Glass Washing Machine,https://mahantam.co.in/,2,Young,,Gujarat,,,,,30,10,300,1,1,30,20,,150,
MindPeers,Medical/Health,For Mental Strength,https://www.mindpeers.co/,2,Middle,,Delhi,,,,,53,1,5300,1,1,106,2,,5300,
Barosi,Food,Fresh & pure milk products,https://www.barosi.in/,1,Middle,2016,Uttar Pradesh,-1,42,40,,50,2,2500,0,,,,,,
Daryaganj,Food,North Indian Cuisine restaurant,https://daryaganj.com/,3,Middle,,Delhi,,300,,,90,0.5,18000,1,1,90,1,,9000,
DhruvVidyut,Vehicles/Electrical Vehicles,Invention converts cycle into an electric cycle,https://www.instagram.com/dhruvvidyutdv/?hl=en,1,Middle,,,,,,,0,0.5,0,1,1,0,0.5,,0,
CELLBELL,Furnishing/Household,Gaming Office Chairs,https://cellbell.in/,3,Middle,2019,Maharashtra,,400,52,,90,1.5,6000,0,,,,,,
Tipayi,Manufacturing,Balance Bike for Kids,https://www.vamshycle.com/,1,Young,2019,,21,0.5,35,26,50,10,500,1,0,,,,,1
DigiQure,Medical/Health,Book Doctors Appointments Video Consultation,https://digiqure.com/,2,Middle,,Madhya Pradesh,,,,,40,4,1000,1,1,40,10,,400,
Nirmalaya,Manufacturing,Incense products made from temple flowers,https://nirmalaya.com/,3,Middle,,Delhi,-1,80,,,60,1.5,4000,0,,,,,,
Pabiben,Beauty/Fashion,Handcrafted products sold directly by artisans,https://www.pabiben.com/,2,Middle,,Gujarat,,,50,35,50,5,1000,1,1,10,5,40,200,
Homestrap,Furnishing/Household,Collection of organizer for home and travelling,https://www.homestrap.com/,2,Middle,,,,,55,,70,1,7000,1,1,50,7,20,714.2857143,
uBreathe,Manufacturing,Smart Natural Air Purifier,https://www.ubreathe.in/,2,Middle,,,,,,,150,7.5,2000,1,1,50,5,100,1000,
Deyor,Technology/Software,Chatbot integrated experiential travel website,https://www.deyorcamps.com/,2,Middle,,,,,25,5,100,1,10000,0,,,,,,
iMumz,Medical/Health,Transforming pregnancy and parenting with app,https://www.imumz.com/,3,Middle,2020,Multiple-States,,,,,70,1,7000,1,1,10,1,60,1000,
TheHealthyBinge,Food,Assorted Pack Baked Chips,https://www.healthybinge.co.in/,2,Middle,,Maharashtra,-1,11,,,50,5,1000,1,1,50,5,,1000,
Freakins,Beauty/Fashion,Fashionable Denim Apparel,https://freakins.com/,2,Middle,,Multiple-States,-1,,63,,70,1,7000,1,1,50,2.5,20,2000,
Perfora,Furnishing/Household,Toothpaste Electric Toothbrush,https://perforacare.com/,2,Young,,Multiple-States,-1,,57,,80,1,8000,1,1,80,2.5,,3200,
MidNightAngelsByPC,Beauty/Fashion,Lounge & Travel wear,https://midnightangelsbypc.com/,2,Middle,2017,,180,,83,20,75,6,1250,1,0,,,,,
CureSee,Medical/Health,Artificial Intelligence (AI) based vision therapy,https://curesee.com/,3,Middle,,,0,264,,,40,5,800,1,1,50,10,,500,
MeduLance,Medical/Health,One-stop solution for all healthcare needs,https://medulance.com/,2,Middle,,Delhi,240,,,24,200,1,20000,1,1,200,2,,10000,
Cakelicious,Food,Cakes Online,,2,Middle,,West Bengal,,3,60,40,25,5,500,1,1,25,20,,125,
Bowled.io,Sports,Play-to-Earn Social Gaming Platform,https://www.bowled.io/,2,Middle,,,,,,,80,1,8000,0,,,,,,
Toyshine,Manufacturing,Collection of Toys,https://toyshine.in/,1,Middle,,Punjab,4500,450,,15,125,0.5,25000,0,,,,,,
neuphony,Medical/Health,Wearable EEG Headband,https://neuphony.com/,1,Young,2022,Uttar Pradesh,-1,,,,100,2,5000,1,1,100,5.4,,1851.851852,
Amrutam,Food,Ayurvedic Lifestyle products,https://amrutam.co.in/,3,Middle,2017,Madhya Pradesh,110,,,,50,2,2500,0,,,,,,
HoloKitab,Technology/Software,Augmented Reality content for books,https://www.holokitab.in/,2,Middle,,Punjab,0,,,,45,10,450,1,1,45,25,,180,
Zoe,Food,Nutrition For Life. Shop health & wellness products,https://www.zoe.menu/,2,Middle,,Haryana,120,,,,75,5,1500,0,,,,,,
Hornback,Vehicles/Electrical Vehicles,Diamond frame folding bicycles,https://hornback.bike/,2,Middle,,Telangana,,,,,50,1,5000,1,1,50,2.5,,2000,1
Malaki,Liquor/Beverages,Non-Alcoholic Beverages,https://malaki.in/,2,Middle,,,270,42,56,13,50,1,5000,1,1,50,3,,1666.666667,
nanoclean,Manufacturing,Contamination Control Solutions,https://nanoclean.store/,1,Middle,2017,Rajasthan,110,5,,,80,2,4000,0,,,,,,1
DesmondJi,Liquor/Beverages,"Spirits, Liqueurs & Cocktail Blends",,2,Middle,,Goa,1200,125,,,100,1,10000,0,,,,,,
Cremeitalia,Food,Fresh Italian Cheese Products,https://cremeitalia.com/,1,Middle,,Maharashtra,,62,,,90,1.5,6000,0,,,,,,
nawgati,Services,Congestion Management for Fuel Stations,https://www.nawgati.com/,3,Young,,Uttar Pradesh,,,,,67,2,3350,1,1,67,3,,2233.333333,
Swytchd,Vehicles/Electrical Vehicles,All-inclusive Electric Vehicle Subscription,https://swytchd.com/,1,Middle,,Karnataka,,,,,50,3,1666.666667,0,,,,,,
GladFul,Food,Natural High Protein Rich & Healthy Foods,https://gladful.in/,2,Middle,2022,Rajasthan,-1,24,,,50,2,2500,1,1,50,3.5,,1428.571429,
Pharmallama,Medical/Health,Simplified pharmacy,https://pharmallama.com/,3,Middle,2022,Multiple-States,,24,,,100,1.5,6666.666667,1,1,200,5,,4000,
CraveRajaFoods,Food,Cloud-kitchen service,https://craverajafoods.com/,2,Middle,2020,West Bengal,256,20,70,3,65,3,2166.666667,0,,,,,,
VAPerfume,Furnishing/Household,"Devotional, meditational, and romantic incense",http://www.vaperfume.com/,1,Middle,,,,,56,35,100,10,1000,0,,,,,,
Hood,Technology/Software,Pseudonymous social network,https://www.hood.live/,3,Middle,2022,Haryana,0,,,,120,0.2,60000,1,1,60,0.54,60,11111.11111,
TwistingScoops,Food,Authentic turkish ice cream,https://twistingscoops.com/,2,Young,,,,,,40,100,2.5,4000,1,0,,,,,
GROWiT,Agriculture,Protective farming products,https://thegrowit.com/,2,Middle,,,-1,,22,,100,1,10000,1,1,50,1,50,5000,
Makino,Food,Nachos & Nuts,https://makino-new.myshopify.com/,4,Young,2018,Gujarat,,2.5,40,,200,2,10000,0,,,,,,
Trunome,Medical/Health,Post Transplant Care,https://acrannolife.com/,2,Middle,,Tamil Nadu,,,,,150,1,15000,1,1,150,2,,7500,1
Wol3D,Manufacturing,3D printing technology,https://worldoflilliputs.com/,4,Middle,2016,Maharashtra,,,30,,150,1,15000,1,1,80,2,70,4000,
What'sUpWellness,Food,Wellness in the form of quick bites,https://whatsupwellness.in/,2,Middle,,,,30,,,50,3,1666.666667,1,1,60,4.76,,1260.504202,
ProostBeer,Liquor/Beverages,Freshly brewed beer,https://www.proost69.com/,2,Middle,2018,,-1,,,,100,0.75,13333.33333,0,,,,,,
DrCubes,Liquor/Beverages,Frozen Fresh cubes,https://drcubes.in/,2,Middle,2017,Karnataka,75,,45,35,80,15,533.3333333,0,,,,,,
MetroRide,Vehicles/Electrical Vehicles,Metro Shuttle Service Access Transportation,https://metroride.in/,2,Middle,,Karnataka,54,25,,,75,1,7500,0,,,,,,
Conker,Technology/Software,Skill Based Learning Online Courses,https://learn.conkerworld.com/,1,Middle,,Karnataka,120,22,50,8,40,1,4000,0,,,,,,
WTF,Food,Where's The Food,,1,Middle,,West Bengal,,,,,75,5,1500,0,,,,,,
funngro,Technology/Software,Smart Teens work with Smart companies,https://www.funngro.com/,3,Middle,2021,Maharashtra,,,,,50,1.25,4000,1,1,50,4.16,,1201.923077,
Aadvik,Food,Buy Camel & Goat Milk,https://aadvikfoods.com/,2,Middle,,Multiple-States,720,50,,,60,1.5,4000,1,1,15,1.5,45,1000,
oyehappy,Services,"Unique Gifts, Customized Gifts, Romantic Gifts, Thoughtful Gifts",https://www.oyehappy.com/,2,Middle,,Telangana,1005,80,80,,50,1,5000,0,,,,,,
HealthyMaster,Food,"Online Dry Fruits, Snacks, Berries, Chips",https://healthymaster.in/,3,Middle,2019,Karnataka,-1,20,45,,50,2,2500,1,1,50,6.5,,769.2307692,
Kitsons,Furnishing/Household,"Stationery, Art & Craft, Books & Toy Retail Space",https://kitsons.in/,3,Middle,2010,Telangana,,,,,1000,10,10000,0,,,,,,
LondonBubble,Food,Waffle Chips Online,https://londonbubbleco.com/,2,Middle,,,,,,,75,5,1500,1,1,75,15,,500,
WaggyZone,Animal/Pets,"Ice Cream Treat for Dogs, Puppies and Cats",https://waggyzone.com/,1,Middle,,,0,1,60,,50,5,1000,0,,,,,,
NutriCook,Food,"Smart Pots, Air Fryers, Air Fryer Oven",https://www.nutricookindia.com/,2,Middle,,Multiple-States,13,,,,100,2,5000,1,1,50,10,50,500,
Subhag,Medical/Health,Health-tech IUI Treatment Procedure for Infertility,https://subhag.in/,3,Middle,,Multiple-States,,0,,,50,1,5000,1,1,20,1,30,2000,1
SinghStyled,Beauty/Fashion,Sikh Gentleman to maintain their Guru-gifted identity,https://www.singhstyled.com/,2,Middle,2019,,,7.5,,,50,5,1000,1,1,50,10,,500,
ZSportsTech,Sports,Cricket Sport Shop,https://www.zsportstech.com/,2,Middle,,Maharashtra,31,,,,60,2,3000,0,,,,,,
ThePlatedProject,Services,Decor Plates & Dinnerware,https://www.theplatedproject.com/,1,Middle,,,,,,,75,2,3750,1,1,75,3.75,,2000,
VsnapU,Services,Professional Photography service,https://www.vsnapu.com/,4,Middle,2017,Goa,,15,,,50,1.5,3333.333333,0,,,,,,
TheHealthyFactory,Food,Protein bread,https://www.thehealthfactory.in/,2,Young,2018,,-1,,56,,75,2.1,3571.428571,0,,,,,,
Brevistay,Services,Booking hotels for hours,https://www.brevistay.com/,5,Young,2016,Multiple-States,,42,,,100,1.66,6024.096386,0,,,,,,
SoulUp,Services,Real Conversations Real People,https://www.soulup.in/,2,Middle,,Karnataka,,,,,50,3,1666.666667,1,1,50,5,,1000,
TheBigBookBox - ChapterOneBooks,Furnishing/Household,New paperback and hardcover books,https://www.thebigbookbox.com/,2,Middle,,Multiple-States,140,,,,50,8,625,0,,,,,,
Rubans,Beauty/Fashion,Artificial Jewellery Set Online,https://www.rubans.in/,2,Middle,2014,Karnataka,5100,,,,150,0.5,30000,1,1,100,1,50,10000,
SameNotification,Technology/Software,parental monitoring app,,1,Middle,,,,,,,25,15,166.6666667,0,,,,,,
BottomLineSprays,Furnishing/Household,portable jet spray,https://bottomlinesprays.com/,2,Middle,,Gujarat,,2,,,35,5,700,0,,,,,,
LilGoodness,Food,Healthy Snacks,https://lilgoodness.com/,2,Middle,2020,Multiple-States,-1,145,65,,100,1,10000,1,1,50,1,50,5000,
ForeverModest,Beauty/Fashion,premium Muslim women's clothing,https://forevermodest.shop/,1,Young,2021,Maharashtra,,4.2,,,20,10,200,1,1,20,20,,100,
Sahayatha,Medical/Health,smart wheelchair with an assistive cleansing device,https://dhanvantribiomedical.com/,1,Young,2022,Tamil Nadu,,,,,100,10,1000,1,1,100,10,,1000,1
WickedGud,Food,High Protein & Fiber Gluten Free Vegan food,https://wickedgud.com/,3,Middle,2021,Maharashtra,-1,,,,50,1,5000,0,,,,,,
maisha,Beauty/Fashion,Handmade Cotton & Jacquard Bags,https://maishalifestyle.com/,3,Middle,2018,Gujarat,,,,,75,3,2500,1,1,10,1,65,1000,
NishHair,Beauty/Fashion,100% Human Hair Extensions,https://nishhair.com/,1,Middle,2017,Maharashtra,670,80,,30,100,2,5000,1,1,100,2,,5000,
MYBYK,Vehicles/Electrical Vehicles,IoT-enabled bikes,https://mybyk.in/,1,Middle,,Gujarat,-1,,,,200,1,20000,0,,,,,,
