Startup Name,Industry,Business Description,Company Website,Number of Presenters,Pitchers Average Age,Started in,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Deal Valuation,Has Patents
PNT,Technology/Software,Robotics and Automation Solutions,https://pntsolutions.in/,2,Young,2021,Maharashtra,,,,,50,4,1250,1,1,25,25,25,100,
Cocofit,Food,Coconut based beverage franchise,https://www.cocofit.in/,3,Middle,2019,Telangana,100,,95,,0.00005,5,0,1,1,0.00005,5,,0,
BambooIndia,Manufacturing,Bamboo Products,https://www.bambooindia.com/,2,Middle,2016,Maharashtra,,20,,,80,4,2000,1,1,50,3.5,30,1429,
FlyingFur,Animal/Pets,Dog pets Hygiene,https://flyingfur.in/,3,Middle,,Delhi,,,,,75,7,1071,0,,,,,,
BeyondWater,Food,Liquid Water Enhancer,https://drinkbeyond.co.in/,2,Young,2020,West Bengal,,10,,,75,4,1875,1,1,75,15,,500,
Let'sTry,Food,Healthy Snacks,https://www.letstryfoods.com/,4,Middle,2017,Delhi,,3,55,,45,2,2250,1,1,45,12,,375,
FindYourKicksIndia,Beauty/Fashion,Sneaker Resale,https://findyourkicksindia.co/,3,Young,2021,Punjab,,3.5,,,50,10,500,1,1,50,25,,200,
AasVidyalaya,Education,EdTech App,https://www.aasvidyalaya.com/,2,Middle,2019,Maharashtra,150,,,,150,3,5000,1,1,150,15,,1000,
Outbox,Services,Premium Surprise-Planning,https://www.outboxsurprises.com/,2,Young,2017,West Bengal,110,,,,50,5,1000,0,,,,,,
RoadBounce,Technology/Software,Pothole Detection Software and Data,https://www.roadbounce.com/,1,Middle,2016,Maharashtra,250,,,,80,10,800,1,1,80,20,,400,
Mommy'sKitchen,Food,Thin Crust Pizza,https://mommys.kitchen/,3,Middle,2016,Maharashtra,,4.5,,,90,3,3000,0,,,,,,
IndiaHempandCo,Food,Hemp Food Products,https://www.indiahempandco.com/,1,Middle,2019,Karnataka,,2,,,50,4,1250,1,0,,,,,
Otua,Vehicles/Electrical Vehicles,Electric Auto Vehicle Dandera,https://www.danderaelectric.com/,2,Middle,2018,Haryana,,,,,100,1,10000,1,1,1,1,99,100,
Anthyesti,Services,Funeral Service the last rites,https://anthyesti.com/,1,Middle,2015,Karnataka,116,,50,,50,2.5,2000,0,,,,,,
Ethik,Manufacturing,Leather-free Shoes,https://www.ethik.in/,2,Middle,2012,Karnataka,,1,,,15,5,300,0,,,,,,
WeSTOCK,Animal/Pets,Brainwired Livestock health monitoring AI pets ear tag,https://www.brainwired.in/,2,Middle,,Kerala,55,,,,50,5,1000,1,1,60,10,,600,
